_id,guid,title,year,month,day,date,fulltext,iso3c,country,cleaned_content,tokens,topic,topic_keywords
645ca8039e7dd258fa7fd191,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,一、中华人民共和国和俄罗斯联邦（以下简称“双方”）一致认为，保持和发展长期稳定的睦邻友好和互利合作关系符合两国和两国人民的根本利益，有利于维护和加强亚洲和世界的和平、稳定与发展。,RUS,61,一中华人民共和国和俄罗斯联邦以下简称“双方”一致认为保持和发展长期稳定的睦邻友好和互利合作关系符合两国和两国人民的根本利益有利于维护和加强亚洲和世界的和平稳定与发展,"['中华人民共和国', '俄罗斯联邦', '以下', '简称', '双方', '一致', '保持', '发展', '长期', '稳定', '睦邻友好', '互利', '合作', '关系', '符合', '两国', '两国人民', '根本利益', '有利于', '维护', '加强', '亚洲', '世界', '和平', '稳定', '发展']",-1,"贸易, 多边, 人权, 条约, 法律, 主权, 平衡, 独立, 市场, 国际法"
645ca8039e7dd258fa7fd192,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,二、双方高度评价１９９２年第一次中俄高级会晤以来两国关系充满活力的顺利发展，并认为两国已具有新型的建设性伙伴关系，即建立在和平共处各项原则基础上的完全平等的睦邻友好、互利合作关系，既不结盟，也不针对第三国。,RUS,61,二双方高度评价１９９２年第一次中俄高级会晤以来两国关系充满活力的顺利发展并认为两国已具有新型的建设性伙伴关系即建立在和平共处各项原则基础上的完全平等的睦邻友好互利合作关系既不结盟也不针对第三国,"['二', '双方', '高度评价', '１', '９', '９', '２', '年', '第一次', '中', '俄', '高级', '会晤', '两国关系', '充满活力', '顺利', '发展', '两国', '具有', '新型', '建设性', '伙伴关系', '建立', '和平共处', '各项', '原则', '基础', '完全', '平等', '睦邻友好', '互利', '合作', '关系', '不结盟', '第三国']",5,"条约, 中_俄, 边界, 联盟, 俄罗斯, 权利, 协作, 外交, 多边, 人文"
645ca8039e7dd258fa7fd193,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,三、双方重申，恪守１９９２年１２月１８日《中俄联合声明》的各项原则，决心面向二十一世纪，把两国关系提高到一个崭新的水平，并且最大限度地发挥和利用中俄合作的巨大潜力，为促进两国国内改革和发展经济的重大任务以及在亚太地区和全世界建立持久和平提供有利的条件。,RUS,61,三双方重申恪守１９９２年１２月１８日中俄联合声明的各项原则决心面向二十一世纪把两国关系提高到一个崭新的水平并且最大限度地发挥和利用中俄合作的巨大潜力为促进两国国内改革和发展经济的重大任务以及在亚太地区和全世界建立持久和平提供有利的条件,"['三', '双方', '重申', '恪守', '１', '９', '９', '２', '年', '１', '２', '月', '１', '８', '日中', '俄', '联合声明', '各项', '原则', '决心', '面向', '二十一', '世纪', '两国关系', '提高', '崭新', '水平', '最大', '限度', '发挥', '利用', '中', '俄', '合作', '巨大', '潜力', '促进', '两', '国', '国内', '改革', '发展', '经济', '重大任务', '亚太地区', '全世界', '建立', '持久和平', '提供', '有利', '条件']",5,"条约, 中_俄, 边界, 联盟, 俄罗斯, 权利, 协作, 外交, 多边, 人文"
645ca8039e7dd258fa7fd194,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——以和平共处各项原则为基础，从社会制度和观点的不同不妨碍各个领域关系的发展这一共识出发，始终如一地维护和发展长期睦邻友好的相互关系，保持经常和多方面的对话，根据公认的国际法准则，本着坦诚、信任和考虑相互利益的精神解决出现的问题；,RUS,61,以和平共处各项原则为基础从社会制度和观点的不同不妨碍各个领域关系的发展这一共识出发始终如一地维护和发展长期睦邻友好的相互关系保持经常和多方面的对话根据公认的国际法准则本着坦诚信任和考虑相互利益的精神解决出现的问题,"['和平共处', '各项', '原则', '基础', '社会制度', '观点', '不同', '妨碍', '各个领域', '关系', '发展', '这一', '共识', '出发', '始终如一', '维护', '发展', '长期', '睦邻友好', '相互关系', '保持', '经常', '多方面', '对话', '公认', '国际法', '准则', '坦诚', '信任', '考虑', '相互', '利益', '精神', '解决', '出现', '问题']",11,"宪章, 国际法, 主权, 领土, 人权, 独立, 宗旨, 损害, 另一方, 领土完整"
645ca8039e7dd258fa7fd195,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——严格遵守中俄国界协定，公正合理地解决遗留的边界问题，按期完成勘界立标工作，巩固两国边境地区友好、睦邻、相互信任与合作的局面；,RUS,61,严格遵守中俄国界协定公正合理地解决遗留的边界问题按期完成勘界立标工作巩固两国边境地区友好睦邻相互信任与合作的局面,"['严格遵守', '中', '俄国', '界', '协定', '公正', '合理', '解决', '遗留', '边界问题', '按期', '完成', '勘界', '立标', '工作', '巩固', '两', '国', '边境地区', '友好', '睦邻', '相互信任', '合作', '局面']",-1,"贸易, 多边, 人权, 条约, 法律, 主权, 平衡, 独立, 市场, 国际法"
645ca8039e7dd258fa7fd196,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——考虑到两国国内的特点和相互尊重各自自由选择其发展道路的权利，磋商和相互介绍其改革的理论与实践；,RUS,61,考虑到两国国内的特点和相互尊重各自自由选择其发展道路的权利磋商和相互介绍其改革的理论与实践,"['考虑', '两国', '国内', '特点', '相互尊重', '自由选择', '发展', '道路', '权利', '磋商', '相互', '介绍', '改革', '理论', '实践']",11,"宪章, 国际法, 主权, 领土, 人权, 独立, 宗旨, 损害, 另一方, 领土完整"
645ca8039e7dd258fa7fd197,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,"——完善和加强双边关系的条约法律基础。


　　（二）在经贸和科技关系方面",RUS,61,完善和加强双边关系的条约法律基础　　二在经贸和科技关系方面,"['完善', '加强', '双边关系', '条约', '法律', '基础', '二', '经贸', '科技', '关系', '方面']",0,"多边, 贸易, 平衡, 市场, 宪章, 保护主义, 议会, 外交, 联盟, 人权"
645ca8039e7dd258fa7fd198,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——最大限度地利用地缘优势和经济的互补性的优势。坚持平等互利的原则，逐步实现向符合国际规范的经济关系形式的过渡，优先考虑发展法律、财政信贷、交通和信息方面的合作；,RUS,61,最大限度地利用地缘优势和经济的互补性的优势坚持平等互利的原则逐步实现向符合国际规范的经济关系形式的过渡优先考虑发展法律财政信贷交通和信息方面的合作,"['最大', '限度', '利用', '地缘', '优势', '经济', '互补性', '优势', '坚持', '平等互利', '原则', '实现', '符合国际', '规范', '经济', '关系', '形式', '过渡', '优先', '考虑', '发展', '法律', '财政', '信贷', '交通', '信息', '方面', '合作']",0,"多边, 贸易, 平衡, 市场, 宪章, 保护主义, 议会, 外交, 联盟, 人权"
645ca8039e7dd258fa7fd199,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——积极探讨经贸合作有前景的新领域，制定并实施科技领域的长期合作规划；,RUS,61,积极探讨经贸合作有前景的新领域制定并实施科技领域的长期合作规划,"['积极', '探讨', '经贸合作', '前景', '新', '领域', '制定', '实施', '科技领域', '长期', '合作', '规划']",8,"创新, 科技, 研究, 技术, 联合, 研发, 实验室, 科研, 生物, 科学家"
645ca8039e7dd258fa7fd19a,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——提高合作档次和质量，根据需要和可能，增加重大项目合作比重；,RUS,61,提高合作档次和质量根据需要和可能增加重大项目合作比重,"['提高', '合作', '档次', '质量', '需要', '可能', '增加', '重大项目', '合作', '比重']",8,"创新, 科技, 研究, 技术, 联合, 研发, 实验室, 科研, 生物, 科学家"
