Topic,Count,Name,Representation,Representative_Docs
-1,300,-1_点击 下图_下图 购买_点击_下图,"['点击 下图', '下图 购买', '点击', '下图', '购买', '购买 点击', '阅读 原文', '原文', '阅读', '男子', '账号', '向西 推进', '协同', '视频', '向西', '点击 阅读', '军警 协同', '赵宇鹏', '俄军', '推进']","['朱凤莲 指出 多年 秉持 两岸 一家亲 理念 保障 两岸 渔民 正常 作业 做 大量 工作 特别是在 沿海 多地 设立 台湾 渔民 接待 设施 台湾 渔船 渔民 提供 避风 补给 抢险 救助 相关 帮助', '朱凤莲 指出 多年 秉持 两岸 一家亲 理念 保障 两岸 渔民 正常 作业 做 大量 工作 特别是在 沿海 多地 设立 台湾 渔民 接待 设施 台湾 渔船 渔民 提供 避风 补给 抢险 救助 相关 帮助', '朱凤莲 指出 多年 秉持 两岸 一家亲 理念 保障 两岸 渔民 正常 作业 做 大量 工作 特别是在 沿海 多地 设立 台湾 渔民 接待 设施 台湾 渔船 渔民 提供 避风 补给 抢险 救助 相关 帮助']"
0,7880,0_事件_金门_台湾_渔船,"['事件', '金门', '台湾', '渔船', '海域', '两岸', '中国', '海巡', '渔民', '海警', '美国', '台海', '方面', '执法', '民进党', '行动', '进行', '发生', '台当局', '大陆 渔船']","['民进党 当局 必须 尽快 遇难者 家属 两岸 同胞 交代 大陆 方面 保留 采取 进一步 措施 权利 后果 民进党 当局 承担 新闻 看点 NEWSMORE15 日 福建 海警 位 金门 附近 海域 依法 开展 执法 巡查', '214 恶性 撞船 事件 中 民进党 当局 草菅人命 推诿 卸责 激起 两岸 同胞 公愤 必须 清清楚楚 交代 解放军 密切 关注 海上 事态 做足 处置 突发 情况 准备 坚决 维护 台海 地区 和平 稳定', '214 恶性 撞船 事件 中 民进党 当局 草菅人命 推诿 卸责 激起 两岸 同胞 公愤 必须 清清楚楚 交代 解放军 密切 关注 海上 事态 做足 处置 突发 情况 准备 坚决 维护 台海 地区 和平 稳定']"
1,269,1_火化_火力_事件_遗体,"['火化', '火力', '事件', '遗体', '带回', '战火', '导火索', '停火', '走火', '擦枪', '擦枪 走火', '火箭', '火上浇油', '反舰导弹', '导弹', '开火', '怒火', '续航', '装备', '成为']","['陈斌华 指出 民进党 当局 一党 私利 甘当 外部 势力 台制 华 棋子 不断 谋 独 挑衅 不惜牺牲 岛内 民众 生命 福祉 极力 迎合 美方 豪猪 建 堡垒 台湾 造成 火药桶 地雷 岛 做 绝不 台湾同胞 只会 台湾 日益 推向 兵凶战危 险境', '家属 拒绝 火化 要求 遗体 带回 大陆 处理 台湾 方面 对此 拒绝 必须 尸检 意见 归还 大陆 工作人员 当机立断 先 两名 生还 渔民 带回去 遗体 后面 再谈 毕竟 重要 赶快 生还 渔民 带回 还原 真相', '家属 拒绝 火化 要求 遗体 带回 大陆 处理 台湾 方面 对此 拒绝 必须 尸检 意见 归还 大陆 工作人员 当机立断 先 两名 生还 渔民 带回去 遗体 后面 再谈 毕竟 重要 赶快 生还 渔民 带回 还原 真相']"
2,116,2_司令部_诗词_邓华_小编,"['司令部', '诗词', '邓华', '小编', '司令', '司令员', '司法', '印太', '军官', '美国 印太', '兵团', '志愿军', '石油', '公司', '编辑 不易', '每日 编辑', '阿奎利诺', '或点', '右下角 感激不尽', '或点 右下角']","['金门 防卫 司令部 严令 立刻 处理 岛上 官兵 武器 采砂船 疯狂 射击 当场 射杀 名 大陆 船员 侥幸 生还 钻进 海边 岩洞 并举手 投降 狮屿 守军 灭掉 战备 失职 证据 竟然 选择 杀人灭口 跪地求饶 名 大陆 船员 直接 层楼 高 峭壁 上推 活活 摔死 外军 驻守 狮屿 背后 高楼大厦 厦门 狮屿 背后 高楼大厦 厦门 杀人灭口 之后 搜索 大陆 船只 残骸 过程 当中 台军 发现 船舱 中有 封 写给 母亲 家书 上面 写 儿子 已经 取得 一张 毛线 票 加上 妈妈 一张 合织 一件 毛衣 母亲 今年 寒冬 可惜 这份 家书 永远 无法 寄达', '金门 防卫 司令部 严令 立刻 处理 岛上 官兵 武器 采砂船 疯狂 射击 当场 射杀 名 大陆 船员 侥幸 生还 钻进 海边 岩洞 并举手 投降 狮屿 守军 灭掉 战备 失职 证据 竟然 选择 杀人灭口 跪地求饶 名 大陆 船员 直接 层楼 高 峭壁 上推 活活 摔死 外军 驻守 狮屿 背后 高楼大厦 厦门 狮屿 背后 高楼大厦 厦门 杀人灭口 之后 搜索 大陆 船只 残骸 过程 当中 台军 发现 船舱 中有 封 写给 母亲 家书 上面 写 儿子 已经 取得 一张 毛线 票 加上 妈妈 一张 合织 一件 毛衣 母亲 今年 寒冬 可惜 这份 家书 永远 无法 寄达', '金门 防卫 司令部 严令 立刻 处理 岛上 官兵 武器 采砂船 疯狂 射击 当场 射杀 名 大陆 船员 侥幸 生还 钻进 海边 岩洞 并举手 投降 狮屿 守军 灭掉 战备 失职 证据 竟然 选择 杀人灭口 跪地求饶 名 大陆 船员 直接 层楼 高 峭壁 上推 活活 摔死 外军 驻守 狮屿 背后 高楼大厦 厦门 狮屿 背后 高楼大厦 厦门 杀人灭口 之后 搜索 大陆 船只 残骸 过程 当中 台军 发现 船舱 中有 封 写给 母亲 家书 上面 写 儿子 已经 取得 一张 毛线 票 加上 妈妈 一张 合织 一件 毛衣 母亲 今年 寒冬 可惜 这份 家书 永远 无法 寄达']"
3,60,3_共同 防御_防御_条约_领地,"['共同 防御', '防御', '条约', '领地', '防御 条约', '共同', '领土', '武装 攻击', '攻击', '武装', '侵略', '太平洋地区', '管辖', '条款', '美菲 共同', '任何一方', '美菲', '结盟', '岛屿', '飞行器']","['美菲 共同 防御 条约 共 条其 核心 条款 第四 五条 美国 菲律宾 集体 防御 制度 第四条 任何一方 太平洋地区 遭到 武装 攻击 可能 危害 本方 和平 安全 宣布 本国 宪法 程序 采取行动 应对 共同 危险', '美菲 共同 防御 条约 共 条其 核心 条款 第四 五条 美国 菲律宾 集体 防御 制度 第四条 任何一方 太平洋地区 遭到 武装 攻击 可能 危害 本方 和平 安全 宣布 本国 宪法 程序 采取行动 应对 共同 危险', '美菲 共同 防御 条约 共 条其 核心 条款 第四 五条 美国 菲律宾 集体 防御 制度 第四条 任何一方 太平洋地区 遭到 武装 攻击 可能 危害 本方 和平 安全 宣布 本国 宪法 程序 采取行动 应对 共同 危险']"
4,55,4_文章_版权_描述 过程_能量 引导,"['文章', '版权', '描述 过程', '能量 引导', '过程 网络', '旨在 倡导', '文章 旨在', '倡导 社会', '社会 能量', '网络 文章', '文章 描述', '倡导', '联系', '引导', '网络', '侵权', '声明 文章', '能量', '描述', '声明']","['声明 文章 描述 过程 网络 文章 旨在 倡导 社会 正 能量 引导 涉及 版权 人物 侵权 问题 请 及时 联系 第一 时间 内容 事件 存疑 部分 联系 即刻 作出 更改', '声明 文章 描述 过程 网络 文章 旨在 倡导 社会 正 能量 引导 涉及 版权 人物 侵权 问题 请 及时 联系 第一 时间 内容 事件 存疑 部分 联系 即刻 作出 更改', '声明 文章 描述 过程 网络 文章 旨在 倡导 社会 正 能量 引导 涉及 版权 人物 侵权 问题 请 及时 联系 第一 时间 内容 事件 存疑 部分 联系 即刻 作出 更改']"
5,55,5_条约_共同 防御_防御_巴基斯坦,"['条约', '共同 防御', '防御', '巴基斯坦', '共同', '防御 条约', '美菲', '美国', '冷战', '签订', '美菲 共同', '签署 共同', '国会', '印度', '主导', '宪法', '宪法 程序', '程序', '1954', '规定']","['第一次 印巴 战争 结束 巴基斯坦 痛感 国 小军 弱 急需 找 靠山 1954 年 月 美巴 签署 共同 防御 援助 协定 月 加入 美英 主导 东南亚 条约 组织 次年 加入 英国 主导 巴格达 条约 组织 条约 大都 共同 防御 性质 巴基斯坦 总算 松 一口气', '第一次 印巴 战争 结束 巴基斯坦 痛感 国 小军 弱 急需 找 靠山 1954 年 月 美巴 签署 共同 防御 援助 协定 月 加入 美英 主导 东南亚 条约 组织 次年 加入 英国 主导 巴格达 条约 组织 条约 大都 共同 防御 性质 巴基斯坦 总算 松 一口气', '第一次 印巴 战争 结束 巴基斯坦 痛感 国 小军 弱 急需 找 靠山 1954 年 月 美巴 签署 共同 防御 援助 协定 月 加入 美英 主导 东南亚 条约 组织 次年 加入 英国 主导 巴格达 条约 组织 条约 大都 共同 防御 性质 巴基斯坦 总算 松 一口气']"
6,54,6_口感_战友_入口_不错,"['口感', '战友', '入口', '不错', '收藏', '值得', '返利', '作何 反应', '作何', '品鉴', '朋友', '香甜', '招待', '香甜 好吃', '过年', '香型', '味道', '好吃', '接着就是', '香肠']","['战友 评 龙凤 之约 先买 两箱 喝酒 春节 请 亲戚朋友 喝 喝 说 酒 确实 不错 买 两箱 一箱 送 朋友 准备 招待 战友 评 高端 大气 上档次 莓 香型 不错 欢迎 品鉴 高端 大气 上档次 莓 香型 不错 欢迎 品鉴', '战友 评 龙凤 之约 先买 两箱 喝酒 春节 请 亲戚朋友 喝 喝 说 酒 确实 不错 买 两箱 一箱 送 朋友 准备 招待 战友 评 高端 大气 上档次 莓 香型 不错 欢迎 品鉴 高端 大气 上档次 莓 香型 不错 欢迎 品鉴', '战友 评 龙凤 之约 先买 两箱 喝酒 春节 请 亲戚朋友 喝 喝 说 酒 确实 不错 买 两箱 一箱 送 朋友 准备 招待 战友 评 高端 大气 上档次 莓 香型 不错 欢迎 品鉴 高端 大气 上档次 莓 香型 不错 欢迎 品鉴']"
