Topic,Word,Score
-1,常住_人口,0.2451670754394543
-1,人口,0.22677391661483817
-1,人口_流入,0.22460804053945488
-1,人口_流动,0.2216586815946807
-1,共同_防御,0.21117879520001737
-1,流出_地区,0.20165130806022927
-1,美国,0.18740802972841297
-1,地区,0.18683483542573517
-1,城市_人口,0.18438455410701715
-1,重点_城市,0.1838878763985069
-1,人口_流出,0.18245916971424642
-1,百分点,0.17987194158429817
-1,一_二线,0.17897088037298925
-1,东部_地区,0.1781488117543693
-1,城市_常住,0.17454538725323349
0,大陆,0.3361465025389164
0,台湾,0.31423875858182754
0,海巡,0.3023095519868025
0,事件,0.28686112234169614
0,台_当局,0.28684260126474326
0,中国,0.2785941211433149
0,大陆_渔船,0.27763806281718445
0,行动,0.27737186340295866
0,金门,0.27668115189665116
0,美国,0.26936431644546455
0,大陆_海警,0.2664074789052261
0,民进党_当局,0.2627550687063694
0,两岸,0.2620550150531783
0,大陆_方面,0.2583207379849137
0,进行,0.25806413545797363
1,导火索,0.6065911304586197
1,火力,0.5189031619648421
1,带_回,0.496198650960798
1,火化,0.46415133691868365
1,陆军_海军 空军_火箭军,0.39227947723475465
1,陆军_海军,0.39227947723475465
1,空军_火箭军,0.39227947723475465
1,开火,0.39227947723475465
1,导弹,0.38464446371521177
1,央视_新闻,0.37765526378397274
1,相_较于,0.35940927875559026
1,打击,0.3562846869351237
1,遗体,0.355268702375444
1,进行,0.3536984390174733
1,正_因为,0.35086543090999706
2,诗词,0.4497863458040155
2,旅游度假区,0.43356891167334255
2,2024年_新年,0.41014546085872133
2,处理_相关,0.39515041070524903
2,2名_生还,0.38523608739140325
2,2名_生还 人员_并,0.3776037369770363
2,大陆,0.37682653508324987
2,人员_并,0.3748189277567558
2,处理_相关 善后_事宜,0.3748189277567558
2,我们_对策,0.3687934316705876
2,2024年_新年 我们_对策,0.3687934316705876
2,人员_并 处理_相关,0.36670073348490406
2,2名_生还 人员_并 处理_相关,0.36670073348490406
2,人员_并 处理_相关 善后_事宜,0.36670073348490406
2,金门,0.3634395918045615
3,不幸,0.950069132419095
3,不幸_遇难,0.9071841560649362
3,遇难,0.7957192213298853
3,人_不幸,0.7858385770096948
3,2_人,0.720322601241564
3,渔民_不幸,0.6790826723971156
3,不幸_罹难,0.6716455893312384
3,其中_两人,0.6647811780653902
3,4_人,0.6503337947367624
3,不幸_身亡,0.6226318086068975
3,罹难,0.6146474568958019
3,落水_其中,0.5907188828707104
3,大陆_渔民,0.5619974719855224
3,4名_渔民,0.5612727271754063
3,遭遇_不幸,0.5468994150768912
4,消费者_损失,0.7340011725471098
4,公司,0.7241983285759325
4,丰富_商品房,0.6300032513045483
4,租赁_房 共有_产权房,0.6300032513045483
4,供给_形式,0.6300032513045483
4,丰富_商品房 租赁_房,0.6300032513045483
4,租赁_房 共有_产权房 多_品类,0.6300032513045483
4,公司_多方,0.6300032513045483
4,公司_多方 供给_格局,0.6300032513045483
4,供给_形式 形成_政府,0.6300032513045483
4,供给_形式 形成_政府 开发商_租赁,0.6300032513045483
4,丰富_商品房 租赁_房 共有_产权房,0.6300032513045483
4,供给_格局,0.6300032513045483
4,形成_政府 开发商_租赁 中介_公司长租,0.6300032513045483
4,形成_政府 开发商_租赁,0.6300032513045483
5,地区_个,0.6335818387653621
5,人口_流出,0.593534776231894
5,人口_流出 地区_个,0.5889899435010096
5,比_从,0.5801578810777281
5,时间段_分别,0.5368788335169297
5,占_比,0.5189089839088156
5,常住_人口,0.43976232644682434
5,上升_态势,0.4187721445192677
5,分别_13751676 占_比 从_639,0.4187721445192677
5,361_大幅 降至_221,0.4187721445192677
5,数_下降,0.4187721445192677
5,人口_流出 地区_数量,0.4187721445192677
5,数_下降 上述_两个,0.4187721445192677
5,扣除_数据 缺失_导致 难以_识别,0.4187721445192677
5,人口_流入 地区_个 数_下降,0.4187721445192677
